year,region,country,modularity,in-conductance,out-conductance
2011,Europe,Portugal,0.005573799189545445,0.42716010450525177,0.292597232925539
2011,Europe,Romania,0.005053759163240157,0.4082794102622276,0.28573898397528363
2011,Europe,Sweden,0.011814906371423753,0.5379889079085907,0.36199557728735027
2011,Europe,Slovenia,0.0011415277539277055,0.7172507818037416,0.5741641405348216
2011,Europe,Slovakia,0.0022625505805225522,0.7613957231626485,0.6385983682889105
2011,Europe,United Kingdom,0.049739185997847095,0.3728334031231489,0.2025661874254521
2011,America,United States,0.245801453920916,0.21517122869689698,0.11984072711047439
2011,Asia and Pacific,Japan,0.12748108121007656,0.22655843561752578,0.1424884032225687
2011,Asia and Pacific,China,0.2468559597517902,0.22034358217954178,0.1398515284080722
2011,America,Canada,0.03207675094661982,0.38445052025200876,0.21052382022269603
2011,Asia and Pacific,South Korea,0.036714116895477544,0.5185099696731854,0.36678759426389335
2011,America,Brazil,0.05055216728633759,0.20321466199637314,0.10991509608728706
2011,Asia and Pacific,India,0.04517289045441786,0.35180869049778485,0.23793920387882864
2011,America,Mexico,0.015979274006119967,0.5257696761441248,0.35798504863506364
2011,Europe,Russia,0.03294726226775085,0.4129073127583805,0.18210665882718863
2011,Asia and Pacific,Australia,0.03594408915354834,0.29908570385098504,0.16562595082563603
2011,Europe,Switzerland,0.013124023873765336,0.6509497561930357,0.4454095046759674
2011,Middle East,Turkey,0.017430078278903898,0.33764020107363074,0.22476403645787948
2011,Asia and Pacific,Taiwan,0.010172196083617153,0.7711740195718114,0.6010256298810224
2011,Europe,Norway,0.008822102240433614,0.5304895089538156,0.29177670954831586
2011,Asia and Pacific,Indonesia,0.01890814794579824,0.3756709158862283,0.23223520166376657
2011,Africa,South Africa,0.011095471177644848,0.27782158882548796,0.1536176920889426
2011,Asia and Pacific,RoW Asia and Pacific,0.03516866780240942,1.0219520956528785,1.0430672211109928
2011,America,RoW America,0.033571919929137516,0.5590523627929845,0.40098189699831377
2011,Europe,RoW Europe,0.009141251420115862,0.6288454908962293,0.5010771037478386
2011,Africa,RoW Africa,0.021963977490223253,0.6272710168183017,0.43136237679785006
2011,Middle East,RoW Middle East,0.030063355615580704,0.8049112888674589,0.5958295127959808
2012,Europe,Austria,0.008132322461327876,0.5696804104634136,0.40560505226744786
2012,Europe,Belgium,0.012755660847595756,0.6232392309773171,0.4559978277461242
2012,Europe,Bulgaria,0.0015173070038872129,0.6141413869429088,0.4600729744502909
2012,Middle East,Cyprus,0.0004534131094244628,0.5925918046720656,0.424365108237871
2012,Europe,Czech Republic,0.005768565510147422,0.6307491029556382,0.4892206449683706
2012,Europe,Germany,0.06718672606329948,0.47570889611132666,0.31234184154317735
2012,Europe,Denmark,0.005831523952059778,0.6155867560492407,0.4461524027704628
2012,Europe,Estonia,0.0004869051667080249,0.8791146269796909,0.7965835247202219
2012,Europe,Spain,0.024003551398364596,0.4343308222222242,0.2883941373687671
2012,Europe,Finland,0.005731630550078543,0.507108772177083,0.3573393613579584
2012,Europe,France,0.04567641795970116,0.419278835877593,0.275086109393724
2012,Europe,Greece,0.004025916753626018,0.5184083933909474,0.3706315128967733
2012,Europe,Croatia,0.001126383274492721,0.5007123941580949,0.33706307867476776
2012,Europe,Hungary,0.002252751252093393,0.8782541031014569,0.7901488969221931
2012,Europe,Ireland,0.004270079546103499,0.8738774332936552,0.7633202584011269
2012,Europe,Italy,0.044866226161127884,0.3579603913227539,0.23504413013944625
2012,Europe,Lithuania,0.0009048451976175454,0.7055680420925625,0.5352354734296597
2012,Europe,Luxembourg,0.0021278085196277307,0.7100090205884637,0.5250787693821919
2012,Europe,Latvia,0.0008313665485124612,0.4917153254473064,0.3326414609874736
2012,Europe,Malta,0.0003880981877108828,0.6989503536862552,0.5465781553082053
2012,Europe,Netherlands,0.015438781745987888,0.6870160538705301,0.5240869185567086
2012,Europe,Poland,0.011108354675713767,0.4883616008955471,0.3428004073777283
2012,Europe,Portugal,0.004514098875127416,0.4876753056925063,0.345370583232436
2012,Europe,Romania,0.004733821429339077,0.40712991282695454,0.2862666881187858
2012,Europe,Sweden,0.01002241058644486,0.5806348560860516,0.4116989367752973
2012,Europe,Slovenia,0.00102127756095539,0.7248983141826216,0.5777335411229862
2012,Europe,Slovakia,0.002603671999013995,0.6918816877739384,0.5500049780504115
2012,Europe,United Kingdom,0.04703561965241925,0.3770162146825871,0.20902752835070237
2012,America,United States,0.2526857881480147,0.20666733817716118,0.11307474989905794
2012,Asia and Pacific,Japan,0.12399693938302848,0.233286996376468,0.149840561240664
2012,Asia and Pacific,China,0.28026055349459567,0.1997748789198213,0.12226679671920082
2012,America,Canada,0.031735453641326974,0.40001182067822727,0.22488454071894223
2012,Asia and Pacific,South Korea,0.035419487892457295,0.53246201241374,0.37619304921031205
2012,America,Brazil,0.045714975503431635,0.21304919652374618,0.12218404985857881
2012,Asia and Pacific,India,0.039837116503414295,0.38954059889915343,0.26613216743634044
2012,America,Mexico,0.017215933449844043,0.5298195297298539,0.3741343657553946
2012,Europe,Russia,0.03390627073619583,0.4147073373972677,0.19307434064530932
2012,Asia and Pacific,Australia,0.03486205489526756,0.2971531832120767,0.1688064268095978
2012,Europe,Switzerland,0.011459564291809946,0.6860415321629098,0.48249455573180844
2012,Middle East,Turkey,0.018193573562607944,0.3371264830469196,0.2162756424769322
2012,Asia and Pacific,Taiwan,0.00882772177590067,0.8116479539135633,0.6582511781071277
2012,Europe,Norway,0.008912617319911196,0.48559630656380737,0.21904501651975972
2012,Asia and Pacific,Indonesia,0.019369786524860256,0.36497164814981103,0.23190967619426156
2012,Africa,South Africa,0.009989440118307245,0.30285552406629207,0.18189944854034742
2012,Asia and Pacific,RoW Asia and Pacific,0.03309252557033679,1.1160181533230675,1.237316488406412
2012,America,RoW America,0.033936491687898813,0.5571758744503488,0.3909761039582376
2012,Europe,RoW Europe,0.008813149290747186,0.6305787007705058,0.503986708614967
2012,Africa,RoW Africa,0.02441325868864166,0.5756548636946637,0.3589665134095789
2012,Middle East,RoW Middle East,0.027947990248251193,0.8771454248910581,0.7310963481556031
2013,Europe,Austria,0.00806812527407958,0.5754964777355208,0.4095704298033192
2013,Europe,Belgium,0.010924885927074801,0.7420351883657874,0.609890694108197
2013,Europe,Bulgaria,0.0013816973461281755,0.6441955366212689,0.47839185365224507
2013,Middle East,Cyprus,0.0004247495376357542,0.6291045124219617,0.45603585983102
2013,Europe,Czech Republic,0.005705462392310607,0.6225924762578922,0.4755910693696708
2013,Europe,Germany,0.06759774167046022,0.4806778558786663,0.3234954387415559
2013,Europe,Denmark,0.005584512283708223,0.655871743854963,0.4946520463872083
2013,Europe,Estonia,0.0005517163067735353,0.8016817348309185,0.6811968236932097
2013,Europe,Spain,0.02302100190528408,0.4570721313806613,0.3082721374312097
2013,Europe,Finland,0.005932366881045969,0.4726897268111894,0.3199534395532482
2013,Europe,France,0.04717533491087686,0.4034102998730167,0.25655128288963386
2013,Europe,Greece,0.0045746561899029925,0.45384137350284176,0.3092355000527334
2013,Europe,Croatia,0.001159064128415743,0.5093377920174168,0.34998354492535994
2013,Europe,Hungary,0.002291216465975055,0.8638555287065472,0.7661047525664355
2013,Europe,Ireland,0.004232477053409503,0.9055558004133052,0.8171438842712261
2013,Europe,Italy,0.04396598621120149,0.3513574086046696,0.22480267935241216
2013,Europe,Lithuania,0.0010675491067321078,0.6809022887358994,0.5212251645775591
2013,Europe,Luxembourg,0.00251147457419706,0.6806224456188129,0.4831788173539079
2013,Europe,Latvia,0.0006426617079053937,0.628144365741156,0.4726326579476621
2013,Europe,Malta,0.0003918292782944413,0.7649528807418627,0.6233744140865316
2013,Europe,Netherlands,0.015730709751028818,0.6868027272363346,0.5224046773388775
2013,Europe,Poland,0.011163258765072927,0.46424113218184976,0.3040251681500583
2013,Europe,Portugal,0.00420961058108681,0.5063838084202571,0.3481432127238231
2013,Europe,Romania,0.004833869969202603,0.4092792453500078,0.27008705939992783
2013,Europe,Sweden,0.011215165427383485,0.5104170760495831,0.3415041039028072
2013,Europe,Slovenia,0.0010372966242825936,0.7142800912797348,0.5559994128137626
2013,Europe,Slovakia,0.002449047992476628,0.7385930560607687,0.6031281560697411
2013,Europe,United Kingdom,0.047527323007592624,0.36641663389546936,0.20212633505425887
2013,America,United States,0.25786111905945985,0.1938763501555798,0.10145726701616573
2013,Asia and Pacific,Japan,0.10154332183555628,0.2530160142946061,0.16958192071972614
2013,Asia and Pacific,China,0.29816974954758335,0.18855654294472624,0.11600721974953278
2013,America,Canada,0.031866171802979085,0.38446874502292466,0.20739110079392042
2013,Asia and Pacific,South Korea,0.035142124857413706,0.5069484148392409,0.34965097330007594
2013,America,Brazil,0.04601327488036596,0.20935984546488398,0.12405015611577246
2013,Asia and Pacific,India,0.03909990730801359,0.3907437074901136,0.2597136284547333
2013,America,Mexico,0.016913212159084895,0.5112387797404584,0.3509258664774538
2013,Europe,Russia,0.03505829673983678,0.3875608806735426,0.1751337583776989
2013,Asia and Pacific,Australia,0.032314382639553954,0.29825301341242316,0.1658418716188082
2013,Europe,Switzerland,0.011737511026763153,0.6770062561422733,0.4607310732869333
2013,Middle East,Turkey,0.01787981226346865,0.3469225082290596,0.22057251097557073
2013,Asia and Pacific,Taiwan,0.009206317371369364,0.7637480420331233,0.5873364444332075
2013,Europe,Norway,0.007862408281868946,0.5121545084376659,0.2509953795622316
2013,Asia and Pacific,Indonesia,0.018737278598913547,0.3567425053879272,0.230846864588416
2013,Africa,South Africa,0.008783320388430191,0.30960432487876205,0.18251059292179486
2013,Asia and Pacific,RoW Asia and Pacific,0.03555653017258492,1.032020543516158,1.0642214901071665
2013,America,RoW America,0.03551498768283814,0.5435934835646269,0.39304793184299275
2013,Europe,RoW Europe,0.008599932677929637,0.6245476124257406,0.5041205652517047
2013,Africa,RoW Africa,0.023442378240372014,0.5914216574544333,0.4143730045587048
2013,Middle East,RoW Middle East,0.026511833857619037,0.907356192231971,0.7968383714410714
2014,Europe,Austria,0.007324624947915982,0.6216425599664986,0.4588008697309707
2014,Europe,Belgium,0.010634140802276433,0.762400317651566,0.6329003463533227
